dataset,components,model,variance_retained,accuracy,balanced_accuracy,macro_f1,auc
pneumoniamnist,4,logistic_regression,0.5821903347969055,0.8444444444444444,0.8444444444444444,0.844307759898951,0.9228532235939644
pneumoniamnist,4,random_forest,0.5821903347969055,0.837037037037037,0.837037037037037,0.8367144977733796,0.9200274348422497
pneumoniamnist,4,small_mlp,0.5821903347969055,0.8,0.8,0.7994608274647887,0.8870781893004115
pneumoniamnist,4,dummy,0.5821903347969055,0.5,0.5,0.3333333333333333,0.5
pneumoniamnist,4,linear_svm,0.5821903347969055,0.8407407407407408,0.8407407407407408,0.8406336220504866,0.9201646090534981
pneumoniamnist,8,logistic_regression,0.7194257378578186,0.8148148148148148,0.8148148148148149,0.8133399701343953,0.89519890260631
pneumoniamnist,8,random_forest,0.7194257378578186,0.8111111111111111,0.8111111111111111,0.8094776893808371,0.9062277091906722
pneumoniamnist,8,small_mlp,0.7194257378578186,0.7962962962962963,0.7962962962962963,0.7939188720354154,0.8596433470507544
pneumoniamnist,8,dummy,0.7194257378578186,0.5,0.5,0.3333333333333333,0.5
pneumoniamnist,8,linear_svm,0.7194257378578186,0.8,0.8,0.7981280460788658,0.8880109739368999
pneumoniamnist,16,logistic_regression,0.8325767517089844,0.8,0.8,0.7959583519928348,0.9115500685871056
pneumoniamnist,16,random_forest,0.8325767517089844,0.8185185185185185,0.8185185185185185,0.8169491525423729,0.9138271604938271
pneumoniamnist,16,small_mlp,0.8325767517089844,0.7777777777777778,0.7777777777777777,0.775,0.8294650205761317
pneumoniamnist,16,dummy,0.8325767517089844,0.5,0.5,0.3333333333333333,0.5
pneumoniamnist,16,linear_svm,0.8325767517089844,0.8,0.8,0.7959583519928348,0.9119890260631001
pneumoniamnist,32,logistic_regression,0.9048988819122314,0.8,0.8,0.7963800904977376,0.9075445816186557
pneumoniamnist,32,random_forest,0.9048988819122314,0.8185185185185185,0.8185185185185184,0.8171919691589172,0.9101508916323731
pneumoniamnist,32,small_mlp,0.9048988819122314,0.7074074074074074,0.7074074074074075,0.6997931063602201,0.7443072702331962
pneumoniamnist,32,dummy,0.9048988819122314,0.5,0.5,0.3333333333333333,0.5
pneumoniamnist,32,linear_svm,0.9048988819122314,0.7925925925925926,0.7925925925925926,0.7884012539184952,0.90480109739369
pneumoniamnist,64,logistic_regression,0.9486605525016785,0.8074074074074075,0.8074074074074074,0.8035154500671742,0.8977229080932785
pneumoniamnist,64,random_forest,0.9486605525016785,0.8407407407407408,0.8407407407407408,0.8402476780185759,0.9212620027434842
pneumoniamnist,64,small_mlp,0.9486605525016785,0.7666666666666667,0.7666666666666666,0.7580335424401485,0.832153635116598
pneumoniamnist,64,dummy,0.9486605525016785,0.5,0.5,0.3333333333333333,0.5
pneumoniamnist,64,linear_svm,0.9486605525016785,0.8,0.8,0.7959583519928348,0.8907270233196158
breastmnist,4,logistic_regression,0.5985615849494934,0.75,0.75,0.7496807151979565,0.7749433106575965
breastmnist,4,random_forest,0.5985615849494934,0.6785714285714286,0.6785714285714286,0.6763236763236764,0.7874149659863946
breastmnist,4,small_mlp,0.5985615849494934,0.5714285714285714,0.5714285714285714,0.5711854792966535,0.6184807256235828
breastmnist,4,dummy,0.5985615849494934,0.5,0.5,0.3333333333333333,0.5
breastmnist,4,linear_svm,0.5985615849494934,0.7142857142857143,0.7142857142857143,0.7141236528644356,0.7664399092970522
breastmnist,8,logistic_regression,0.736713171005249,0.7142857142857143,0.7142857142857143,0.7128205128205127,0.7834467120181405
breastmnist,8,random_forest,0.736713171005249,0.7380952380952381,0.7380952380952381,0.7367521367521368,0.7808956916099773
breastmnist,8,small_mlp,0.736713171005249,0.44047619047619047,0.44047619047619047,0.4267460432699288,0.46655328798185935
breastmnist,8,dummy,0.736713171005249,0.5,0.5,0.3333333333333333,0.5
breastmnist,8,linear_svm,0.736713171005249,0.7142857142857143,0.7142857142857143,0.7128205128205127,0.7698412698412698
breastmnist,16,logistic_regression,0.8352855443954468,0.7380952380952381,0.7380952380952381,0.7375,0.8117913832199546
breastmnist,16,random_forest,0.8352855443954468,0.7619047619047619,0.7619047619047619,0.7606837606837606,0.8497732426303853
breastmnist,16,small_mlp,0.8352855443954468,0.5357142857142857,0.5357142857142857,0.5351213282247764,0.5198412698412698
breastmnist,16,dummy,0.8352855443954468,0.5,0.5,0.3333333333333333,0.5
breastmnist,16,linear_svm,0.8352855443954468,0.75,0.75,0.7482517482517483,0.8174603174603174
breastmnist,32,logistic_regression,0.9046312570571899,0.7023809523809523,0.7023809523809523,0.7020008514261388,0.8010204081632653
breastmnist,32,random_forest,0.9046312570571899,0.7857142857142857,0.7857142857142858,0.7852272727272727,0.861111111111111
breastmnist,32,small_mlp,0.9046312570571899,0.5833333333333334,0.5833333333333334,0.5555555555555556,0.6621315192743764
breastmnist,32,dummy,0.9046312570571899,0.5,0.5,0.3333333333333333,0.5
breastmnist,32,linear_svm,0.9046312570571899,0.6904761904761905,0.6904761904761905,0.6876430205949657,0.782312925170068
breastmnist,64,logistic_regression,0.9549993872642517,0.6547619047619048,0.6547619047619048,0.653534347887925,0.7681405895691611
breastmnist,64,random_forest,0.9549993872642517,0.7619047619047619,0.7619047619047619,0.761769710720363,0.8747165532879818
breastmnist,64,small_mlp,0.9549993872642517,0.5714285714285714,0.5714285714285714,0.49867374005305043,0.5527210884353742
breastmnist,64,dummy,0.9549993872642517,0.5,0.5,0.3333333333333333,0.5
breastmnist,64,linear_svm,0.9549993872642517,0.6666666666666666,0.6666666666666667,0.664957264957265,0.7525510204081632
pathmnist,4,logistic_regression,0.6215197443962097,0.4777777777777778,0.47777777777777775,0.4634360462372735,0.8625771604938273
pathmnist,4,random_forest,0.6215197443962097,0.5185185185185185,0.5185185185185186,0.5020930251766809,0.8930632716049384
pathmnist,4,small_mlp,0.6215197443962097,0.13703703703703704,0.13703703703703704,0.06772024193567874,0.46112654320987656
pathmnist,4,dummy,0.6215197443962097,0.1111111111111111,0.1111111111111111,0.022222222222222223,0.5
pathmnist,4,linear_svm,0.6215197443962097,0.5222222222222223,0.5222222222222223,0.509681657931352,0.8725308641975308
pathmnist,8,logistic_regression,0.6704623103141785,0.4777777777777778,0.47777777777777775,0.4645562188256329,0.865570987654321
pathmnist,8,random_forest,0.6704623103141785,0.4888888888888889,0.48888888888888893,0.4847326072970755,0.8912577160493826
pathmnist,8,small_mlp,0.6704623103141785,0.3074074074074074,0.30740740740740746,0.20896676943188572,0.7114197530864197
pathmnist,8,dummy,0.6704623103141785,0.1111111111111111,0.1111111111111111,0.022222222222222223,0.5
pathmnist,8,linear_svm,0.6704623103141785,0.5148148148148148,0.5148148148148148,0.49597801982093714,0.8790432098765433
pathmnist,16,logistic_regression,0.7219322323799133,0.48148148148148145,0.48148148148148145,0.47788172475844626,0.8484413580246914
pathmnist,16,random_forest,0.7219322323799133,0.5111111111111111,0.5111111111111111,0.5025686071233898,0.8995910493827162
pathmnist,16,small_mlp,0.7219322323799133,0.1111111111111111,0.1111111111111111,0.02810192465079496,0.48407407407407405
pathmnist,16,dummy,0.7219322323799133,0.1111111111111111,0.1111111111111111,0.022222222222222223,0.5
pathmnist,16,linear_svm,0.7219322323799133,0.4962962962962963,0.49629629629629624,0.48538935834884733,0.8620833333333333
pathmnist,32,logistic_regression,0.7814341187477112,0.5037037037037037,0.5037037037037037,0.49260800538613264,0.8576543209876544
pathmnist,32,random_forest,0.7814341187477112,0.5074074074074074,0.5074074074074074,0.4978930675888644,0.9063348765432099
pathmnist,32,small_mlp,0.7814341187477112,0.1962962962962963,0.1962962962962963,0.17610425185939574,0.5564043209876544
pathmnist,32,dummy,0.7814341187477112,0.1111111111111111,0.1111111111111111,0.022222222222222223,0.5
pathmnist,32,linear_svm,0.7814341187477112,0.4703703703703704,0.4703703703703704,0.4477494536765259,0.85875
pathmnist,64,logistic_regression,0.8475614190101624,0.44814814814814813,0.44814814814814813,0.43091328435628223,0.838858024691358
pathmnist,64,random_forest,0.8475614190101624,0.5074074074074074,0.5074074074074075,0.4863876571817108,0.9025617283950618
pathmnist,64,small_mlp,0.8475614190101624,0.16666666666666666,0.16666666666666663,0.13613088270834026,0.599645061728395
pathmnist,64,dummy,0.8475614190101624,0.1111111111111111,0.1111111111111111,0.022222222222222223,0.5
pathmnist,64,linear_svm,0.8475614190101624,0.4185185185185185,0.41851851851851857,0.39283248004851923,0.8537808641975309
