dataset,components,probe,variance_retained,reference_probability_shift,compressed_probability_shift,reference_flip_rate,compressed_flip_rate,response_ratio,response_distortion,diagnostic_information_preservation_score
breastmnist,4,texture_weakening,0.5985615849494934,0.1291652742637504,0.003113202953098211,0.11904761904761904,0.0,0.024102474367192765,0.1260520713106522,0.047070510384574216
breastmnist,8,texture_weakening,0.736713171005249,0.1291652742637504,0.0032921371516213133,0.11904761904761904,0.0,0.02548778621428107,0.1258731371121291,0.04970868549973517
breastmnist,16,texture_weakening,0.8352855443954468,0.1291652742637504,0.009990051211104264,0.11904761904761904,0.011904761904761904,0.07734315972010695,0.11917522305264615,0.14358136074357652
breastmnist,32,gaussian_like_noise,0.9046312570571899,0.18500214696145637,0.0339506248585553,0.19047619047619047,0.05952380952380952,0.18351475148275503,0.15105152210290107,0.3101182782547529
breastmnist,64,gaussian_like_noise,0.9549993872642517,0.18500214696145637,0.05944042649002069,0.19047619047619047,0.047619047619047616,0.32129585657968623,0.12556172047143568,0.48633450563919334
pathmnist,4,texture_weakening,0.6215197443962097,0.30388853562853335,0.003361275617053025,0.3851851851851852,0.018518518518518517,0.0110608828973823,0.30052726001148033,0.021879788918518717
pathmnist,8,boundary_weakening,0.6704623103141785,0.19391495479650997,0.00280384431362499,0.22962962962962963,0.007407407407407408,0.014459143555873997,0.19111111048288498,0.028506163963764375
pathmnist,16,texture_weakening,0.7219322323799133,0.30388853562853335,0.007382190194849246,0.3851851851851852,0.011111111111111112,0.024292426618386178,0.2965063454336841,0.047432632401640085
pathmnist,32,texture_weakening,0.7814341187477112,0.30388853562853335,0.021358180973513,0.3851851851851852,0.07037037037037037,0.07028294182440417,0.28253035465502035,0.13133528627112467
pathmnist,64,texture_weakening,0.8475614190101624,0.30388853562853335,0.05108893422918528,0.3851851851851852,0.07037037037037037,0.16811734092681224,0.2527996013993481,0.28784326966129026
pneumoniamnist,4,center_occlusion,0.5821903347969055,0.15492439184872633,0.013048339422917664,0.14444444444444443,0.0,0.08422391351659711,0.14187605242580867,0.15536264186837312
pneumoniamnist,8,off_center_occlusion,0.7194257378578186,0.02043348479907793,0.2343401554179004,0.02962962962962963,0.22592592592592592,11.468432479228913,0.21390667061882246,0.16040504802341793
pneumoniamnist,16,off_center_occlusion,0.8325767517089844,0.02043348479907793,0.34970924264366776,0.02962962962962963,0.34444444444444444,17.114509587437215,0.32927575784458984,0.11040870308708195
pneumoniamnist,32,off_center_occlusion,0.9048988819122314,0.02043348479907793,0.08996707227684103,0.02962962962962963,0.09259259259259259,4.4029214366649025,0.0695335874777631,0.37017001525049176
pneumoniamnist,64,off_center_occlusion,0.9486605525016785,0.02043348479907793,0.124959943592147,0.02962962962962963,0.12222222222222222,6.115446467717596,0.10452645879306907,0.28107856895296
