dataset,components,variance_retained
pneumoniamnist,4,0.5821903347969055
pneumoniamnist,8,0.7194257378578186
pneumoniamnist,16,0.8325767517089844
pneumoniamnist,32,0.9048988819122314
pneumoniamnist,64,0.9486605525016785
breastmnist,4,0.5985615849494934
breastmnist,8,0.736713171005249
breastmnist,16,0.8352855443954468
breastmnist,32,0.9046312570571899
breastmnist,64,0.9549993872642517
pathmnist,4,0.6215197443962097
pathmnist,8,0.6704623103141785
pathmnist,16,0.7219322323799133
pathmnist,32,0.7814341187477112
pathmnist,64,0.8475614190101624
